id,cause_score,effect_score,avg_score,pred_cause,pred_effect,orig_cause,orig_effect,judge_response
row0,0.0,0.0,0.0,central bank raises interest rates,consumer borrowing decreases,Central bank raises interest rates,Consumer borrowing decreases,"<think>
[-1]"
row1,1.0,1.0,1.0,the introduction of algorithmic trading strategies emerged,increased volatility in financial markets occurring,Introduction of algorithmic trading strategies,Increased volatility in financial markets,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row2,1.0,1.0,1.0,tightening regulations on cryptocurrency exchanges,reduced market liquidity,Tightening regulations on cryptocurrency exchanges,Reduced market liquidity,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row3,0.5,1.0,0.75,increased international trade tariffs and the broader economic environment,reduction in import-dependent industries' profitability,Increased international trade tariffs,Reduction in import-dependent industries' profitability,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row4,0.0,0.0,0.0,,,Rise in ESG investing standards,Growth in sustainable investment funds,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row5,0.0,0.0,0.0,,,Implementation of remote work policies,Reduced corporate real estate expenditures,"<think>
{""cause_score"": 0, ""effect_score"": 0}"
row6,0.5,1.0,0.75,broader legal shifts,the increase in compliance costs for businesses,Enhanced data privacy legislation,Increased compliance costs for businesses,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row7,1.0,0.5,0.75,adoption of central bank digital currencies (CBDCs),"changes in cash usage, which notably declined during the same period",Adoption of central bank digital currencies (CBDCs),Decline in traditional cash usage,"<think>
{""cause_score"": 1, ""effect_score"": 0.5}"
row8,1.0,1.0,1.0,escalation of geopolitical tensions,Increased prices of commodities such as oil,Escalation of geopolitical tensions,Increased prices of commodities such as oil,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row9,1.0,1.0,1.0,rising inflation rates,decreased consumer purchasing power,Rising inflation rates,Decrease in consumer purchasing power,"<think>
{""cause_score"": 1, ""effect_score"": 1}"
row10,0.5,1.0,0.75,the growing focus on financial knowledge,increased household savings rates,Expansion of financial literacy education,Increased household savings rates,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row11,0.5,1.0,0.75,fintech grew,improved access to credit for small businesses was observed,Growth of fintech lending platforms,Improved access to credit for small businesses,"<think>
{""cause_score"": 0.5, ""effect_score"": 1}"
row12,1.0,0.5,0.75,the sudden bankruptcy of major banks,investor confidence appeared to decline,Sudden bankruptcy of major banks,Decline in investor confidence,"<think>
{""cause_score"": 1, ""effect_score"": 0.5}"
